value,cause,race,county,upper,samples
8.643846108364297,_all,1,301,7845.069849732339,1
8.528661691289589,_all,1,301,7845.069849732339,2
8.52339673532974,_all,1,301,7845.069849732339,3
8.543208567286866,_all,1,301,7845.069849732339,4
8.498540526960433,_all,1,301,7845.069849732339,5
8.541715734976997,_all,1,301,7845.069849732339,6
8.529082095271256,_all,1,301,7845.069849732339,7
8.59790187353336,_all,1,301,7845.069849732339,8
8.492961742657597,_all,1,301,7845.069849732339,9
8.606343337371403,_all,1,301,7845.069849732339,10
8.563689696998354,_all,1,301,7845.069849732339,11
8.691849129659559,_all,1,301,7845.069849732339,12
8.452087698994816,_all,1,301,7845.069849732339,13
8.50725664832278,_all,1,301,7845.069849732339,14
8.499579396204908,_all,1,301,7845.069849732339,15
8.49642391797403,_all,1,301,7845.069849732339,16
8.642782541966175,_all,1,301,7845.069849732339,17
8.634158291080192,_all,1,301,7845.069849732339,18
8.54427323414953,_all,1,301,7845.069849732339,19
8.5790057455719,_all,1,301,7845.069849732339,20
8.543570263292299,_all,1,301,7845.069849732339,21
8.50499104070455,_all,1,301,7845.069849732339,22
8.607049390640078,_all,1,301,7845.069849732339,23
8.495107951170148,_all,1,301,7845.069849732339,24
8.525114892767427,_all,1,301,7845.069849732339,25
8.70982638178756,_all,1,301,7845.069849732339,26
8.505838890058682,_all,1,301,7845.069849732339,27
8.669438820816017,_all,1,301,7845.069849732339,28
8.476546948106797,_all,1,301,7845.069849732339,29
8.474137205942837,_all,1,301,7845.069849732339,30
8.566226374492476,_all,1,301,7845.069849732339,31
8.496336009246846,_all,1,301,7845.069849732339,32
8.45897318695472,_all,1,301,7845.069849732339,33
8.539901589198427,_all,1,301,7845.069849732339,34
8.608557812278788,_all,1,301,7845.069849732339,35
8.540356710591828,_all,1,301,7845.069849732339,36
8.667534381150807,_all,1,301,7845.069849732339,37
8.557050567158347,_all,1,301,7845.069849732339,38
8.601145463983167,_all,1,301,7845.069849732339,39
8.517116358389016,_all,1,301,7845.069849732339,40
8.610267192798373,_all,1,301,7845.069849732339,41
8.565735304741573,_all,1,301,7845.069849732339,42
8.496056984513261,_all,1,301,7845.069849732339,43
8.506603217556117,_all,1,301,7845.069849732339,44
8.508852431619767,_all,1,301,7845.069849732339,45
8.44056580967285,_all,1,301,7845.069849732339,46
8.54719113401679,_all,1,301,7845.069849732339,47
8.497444223468564,_all,1,301,7845.069849732339,48
8.613717039462843,_all,1,301,7845.069849732339,49
8.557841258304462,_all,1,301,7845.069849732339,50
8.535991088059744,_all,1,301,7845.069849732339,51
8.551208439208269,_all,1,301,7845.069849732339,52
8.564726512322698,_all,1,301,7845.069849732339,53
8.616262699877113,_all,1,301,7845.069849732339,54
8.515189864317065,_all,1,301,7845.069849732339,55
8.580911628569288,_all,1,301,7845.069849732339,56
8.54694477929246,_all,1,301,7845.069849732339,57
8.590373793750855,_all,1,301,7845.069849732339,58
8.598821847077762,_all,1,301,7845.069849732339,59
8.540029489231227,_all,1,301,7845.069849732339,60
8.574441408839387,_all,1,301,7845.069849732339,61
8.530004842757737,_all,1,301,7845.069849732339,62
8.484144516898164,_all,1,301,7845.069849732339,63
8.569832247041042,_all,1,301,7845.069849732339,64
8.62967865016945,_all,1,301,7845.069849732339,65
8.557933736051904,_all,1,301,7845.069849732339,66
8.58580547477267,_all,1,301,7845.069849732339,67
8.523720298640182,_all,1,301,7845.069849732339,68
8.553339248130436,_all,1,301,7845.069849732339,69
8.55535107658213,_all,1,301,7845.069849732339,70
8.565884932688757,_all,1,301,7845.069849732339,71
8.570463888116498,_all,1,301,7845.069849732339,72
8.467613827544247,_all,1,301,7845.069849732339,73
8.617337512531751,_all,1,301,7845.069849732339,74
8.461998950263428,_all,1,301,7845.069849732339,75
8.477963839782642,_all,1,301,7845.069849732339,76
8.588793553500157,_all,1,301,7845.069849732339,77
8.607639512389042,_all,1,301,7845.069849732339,78
8.59761266707254,_all,1,301,7845.069849732339,79
8.587039102411554,_all,1,301,7845.069849732339,80
8.514881988052204,_all,1,301,7845.069849732339,81
8.683397288128937,_all,1,301,7845.069849732339,82
8.5869571916803,_all,1,301,7845.069849732339,83
8.524763789959989,_all,1,301,7845.069849732339,84
8.509344130771378,_all,1,301,7845.069849732339,85
8.621564538530498,_all,1,301,7845.069849732339,86
8.544840349718179,_all,1,301,7845.069849732339,87
8.412303105780886,_all,1,301,7845.069849732339,88
8.45250175728788,_all,1,301,7845.069849732339,89
8.51517021287536,_all,1,301,7845.069849732339,90
8.476768011442172,_all,1,301,7845.069849732339,91
8.534682531134914,_all,1,301,7845.069849732339,92
8.53271377236502,_all,1,301,7845.069849732339,93
8.582749349665377,_all,1,301,7845.069849732339,94
8.710160360464982,_all,1,301,7845.069849732339,95
8.570604296415143,_all,1,301,7845.069849732339,96
8.566367947503604,_all,1,301,7845.069849732339,97
8.500039331130905,_all,1,301,7845.069849732339,98
8.486159718615482,_all,1,301,7845.069849732339,99
8.510004037555124,_all,1,301,7845.069849732339,100
22.950858874848443,_all,1,302,23665.399829829803,1
23.061142833992623,_all,1,302,23665.399829829803,2
23.09936798122881,_all,1,302,23665.399829829803,3
22.892791969968343,_all,1,302,23665.399829829803,4
23.344991478029986,_all,1,302,23665.399829829803,5
22.976778132237865,_all,1,302,23665.399829829803,6
23.231627739100492,_all,1,302,23665.399829829803,7
22.9080265692581,_all,1,302,23665.399829829803,8
22.957924221670993,_all,1,302,23665.399829829803,9
23.338893443208,_all,1,302,23665.399829829803,10
23.04161025859003,_all,1,302,23665.399829829803,11
23.172734786500552,_all,1,302,23665.399829829803,12
22.908841754963213,_all,1,302,23665.399829829803,13
22.794736696856013,_all,1,302,23665.399829829803,14
23.043027322006548,_all,1,302,23665.399829829803,15
22.99457357506875,_all,1,302,23665.399829829803,16
23.09431366298855,_all,1,302,23665.399829829803,17
23.170708885210075,_all,1,302,23665.399829829803,18
23.167868992996613,_all,1,302,23665.399829829803,19
23.306256049698924,_all,1,302,23665.399829829803,20
23.180106023467896,_all,1,302,23665.399829829803,21
23.041758516293847,_all,1,302,23665.399829829803,22
23.161344839836516,_all,1,302,23665.399829829803,23
23.06851527136961,_all,1,302,23665.399829829803,24
22.81631066007337,_all,1,302,23665.399829829803,25
23.036662419998535,_all,1,302,23665.399829829803,26
22.967736075577836,_all,1,302,23665.399829829803,27
23.260480488362443,_all,1,302,23665.399829829803,28
23.02782336987325,_all,1,302,23665.399829829803,29
23.127931849257497,_all,1,302,23665.399829829803,30
23.03997713334148,_all,1,302,23665.399829829803,31
22.976997677537977,_all,1,302,23665.399829829803,32
23.19097869621763,_all,1,302,23665.399829829803,33
23.268626393573093,_all,1,302,23665.399829829803,34
23.085561744034163,_all,1,302,23665.399829829803,35
23.10358705653252,_all,1,302,23665.399829829803,36
23.21721579167717,_all,1,302,23665.399829829803,37
23.15656411309545,_all,1,302,23665.399829829803,38
23.163688678561993,_all,1,302,23665.399829829803,39
23.179374716761373,_all,1,302,23665.399829829803,40
22.991492111755576,_all,1,302,23665.399829829803,41
23.238051623905427,_all,1,302,23665.399829829803,42
22.782698297467952,_all,1,302,23665.399829829803,43
22.973844905021412,_all,1,302,23665.399829829803,44
23.161989010423465,_all,1,302,23665.399829829803,45
23.02709969887519,_all,1,302,23665.399829829803,46
22.933313983703385,_all,1,302,23665.399829829803,47
22.844480734656948,_all,1,302,23665.399829829803,48
23.035360728049927,_all,1,302,23665.399829829803,49
23.401650628417883,_all,1,302,23665.399829829803,50
23.125034897176683,_all,1,302,23665.399829829803,51
22.969060598033423,_all,1,302,23665.399829829803,52
22.953359660398,_all,1,302,23665.399829829803,53
22.971492080006445,_all,1,302,23665.399829829803,54
23.154250196197545,_all,1,302,23665.399829829803,55
23.13974648164147,_all,1,302,23665.399829829803,56
23.022224653574025,_all,1,302,23665.399829829803,57
23.270133072524775,_all,1,302,23665.399829829803,58
23.05036456521398,_all,1,302,23665.399829829803,59
22.94297240275622,_all,1,302,23665.399829829803,60
22.948192104921148,_all,1,302,23665.399829829803,61
23.0315303374228,_all,1,302,23665.399829829803,62
23.090016372452844,_all,1,302,23665.399829829803,63
23.025056052536065,_all,1,302,23665.399829829803,64
23.34951860057727,_all,1,302,23665.399829829803,65
23.09560327477733,_all,1,302,23665.399829829803,66
23.02574955501368,_all,1,302,23665.399829829803,67
22.95004321424518,_all,1,302,23665.399829829803,68
23.1509814708928,_all,1,302,23665.399829829803,69
22.95819906573469,_all,1,302,23665.399829829803,70
23.075846404223224,_all,1,302,23665.399829829803,71
23.06210365484785,_all,1,302,23665.399829829803,72
22.92723340955678,_all,1,302,23665.399829829803,73
23.029786135798904,_all,1,302,23665.399829829803,74
22.975648938977205,_all,1,302,23665.399829829803,75
23.22323389212525,_all,1,302,23665.399829829803,76
23.26656201106629,_all,1,302,23665.399829829803,77
23.36245665329253,_all,1,302,23665.399829829803,78
23.019704617883217,_all,1,302,23665.399829829803,79
22.945027389016495,_all,1,302,23665.399829829803,80
23.07335257243441,_all,1,302,23665.399829829803,81
23.084646565676003,_all,1,302,23665.399829829803,82
23.268343429058564,_all,1,302,23665.399829829803,83
23.066332932188505,_all,1,302,23665.399829829803,84
22.89821174272845,_all,1,302,23665.399829829803,85
23.137442898656015,_all,1,302,23665.399829829803,86
23.130039273235507,_all,1,302,23665.399829829803,87
23.15627866975435,_all,1,302,23665.399829829803,88
23.205831369600578,_all,1,302,23665.399829829803,89
23.084015162322313,_all,1,302,23665.399829829803,90
23.150340836098167,_all,1,302,23665.399829829803,91
23.234507256593577,_all,1,302,23665.399829829803,92
22.924794519923154,_all,1,302,23665.399829829803,93
23.02078316357818,_all,1,302,23665.399829829803,94
23.11972370210449,_all,1,302,23665.399829829803,95
22.97326519543937,_all,1,302,23665.399829829803,96
23.09461350814205,_all,1,302,23665.399829829803,97
22.90736374460682,_all,1,302,23665.399829829803,98
22.972432036626984,_all,1,302,23665.399829829803,99
23.12363190977438,_all,1,302,23665.399829829803,100
7.657007917346917,_all,1,303,8150.664644979963,1
7.58169317194175,_all,1,303,8150.664644979963,2
7.629409718398354,_all,1,303,8150.664644979963,3
7.609449910590945,_all,1,303,8150.664644979963,4
7.500041151870527,_all,1,303,8150.664644979963,5
7.558669088934458,_all,1,303,8150.664644979963,6
7.6399158783444525,_all,1,303,8150.664644979963,7
7.581376394854268,_all,1,303,8150.664644979963,8
7.483539032196561,_all,1,303,8150.664644979963,9
7.644178850814957,_all,1,303,8150.664644979963,10
7.633747157583277,_all,1,303,8150.664644979963,11
7.663801167437889,_all,1,303,8150.664644979963,12
7.608542559336762,_all,1,303,8150.664644979963,13
7.56027425670533,_all,1,303,8150.664644979963,14
7.468205782707308,_all,1,303,8150.664644979963,15
7.506331765187465,_all,1,303,8150.664644979963,16
7.552375669907068,_all,1,303,8150.664644979963,17
7.604335088979105,_all,1,303,8150.664644979963,18
7.557149972598976,_all,1,303,8150.664644979963,19
7.600425027662246,_all,1,303,8150.664644979963,20
7.557500152402459,_all,1,303,8150.664644979963,21
7.586511738643551,_all,1,303,8150.664644979963,22
7.556863443929242,_all,1,303,8150.664644979963,23
7.590232097697001,_all,1,303,8150.664644979963,24
7.571640780734411,_all,1,303,8150.664644979963,25
7.61920731645664,_all,1,303,8150.664644979963,26
7.520262044474726,_all,1,303,8150.664644979963,27
7.579244374135778,_all,1,303,8150.664644979963,28
7.635939876224294,_all,1,303,8150.664644979963,29
7.59269029276825,_all,1,303,8150.664644979963,30
7.499175749185223,_all,1,303,8150.664644979963,31
7.581802487687893,_all,1,303,8150.664644979963,32
7.5639424863995455,_all,1,303,8150.664644979963,33
7.673517340402095,_all,1,303,8150.664644979963,34
7.57902611144085,_all,1,303,8150.664644979963,35
7.584156803987751,_all,1,303,8150.664644979963,36
7.620435097881455,_all,1,303,8150.664644979963,37
7.695452582805174,_all,1,303,8150.664644979963,38
7.62859400500877,_all,1,303,8150.664644979963,39
7.594062459369231,_all,1,303,8150.664644979963,40
7.518058493865377,_all,1,303,8150.664644979963,41
7.465349856071874,_all,1,303,8150.664644979963,42
7.525659504980767,_all,1,303,8150.664644979963,43
7.548584546897392,_all,1,303,8150.664644979963,44
7.652344474167764,_all,1,303,8150.664644979963,45
7.505269768161694,_all,1,303,8150.664644979963,46
7.640901959469135,_all,1,303,8150.664644979963,47
7.526188431412217,_all,1,303,8150.664644979963,48
7.562724639802513,_all,1,303,8150.664644979963,49
7.718008478521548,_all,1,303,8150.664644979963,50
7.587751985872756,_all,1,303,8150.664644979963,51
7.558444131698122,_all,1,303,8150.664644979963,52
7.594591231842702,_all,1,303,8150.664644979963,53
7.573530195487899,_all,1,303,8150.664644979963,54
7.538027061274014,_all,1,303,8150.664644979963,55
7.665369969851365,_all,1,303,8150.664644979963,56
7.58686660074511,_all,1,303,8150.664644979963,57
7.68975089805484,_all,1,303,8150.664644979963,58
7.64390972798339,_all,1,303,8150.664644979963,59
7.559849732711435,_all,1,303,8150.664644979963,60
7.580617511116751,_all,1,303,8150.664644979963,61
7.653826419011347,_all,1,303,8150.664644979963,62
7.566893856550593,_all,1,303,8150.664644979963,63
7.654489547360991,_all,1,303,8150.664644979963,64
7.56639188625539,_all,1,303,8150.664644979963,65
7.617063503190483,_all,1,303,8150.664644979963,66
7.534893723639254,_all,1,303,8150.664644979963,67
7.597951284274208,_all,1,303,8150.664644979963,68
7.533220814343874,_all,1,303,8150.664644979963,69
7.566783130367148,_all,1,303,8150.664644979963,70
7.619801543873186,_all,1,303,8150.664644979963,71
7.622878691375476,_all,1,303,8150.664644979963,72
7.563703941119346,_all,1,303,8150.664644979963,73
7.617835361115258,_all,1,303,8150.664644979963,74
7.601708414299496,_all,1,303,8150.664644979963,75
7.616159233827792,_all,1,303,8150.664644979963,76
7.667637773465349,_all,1,303,8150.664644979963,77
7.653632563275016,_all,1,303,8150.664644979963,78
7.547242390797904,_all,1,303,8150.664644979963,79
7.531441630172849,_all,1,303,8150.664644979963,80
7.619094351544841,_all,1,303,8150.664644979963,81
7.44192525701603,_all,1,303,8150.664644979963,82
7.577625225977674,_all,1,303,8150.664644979963,83
7.584056490118001,_all,1,303,8150.664644979963,84
7.619244665598475,_all,1,303,8150.664644979963,85
7.625659413930964,_all,1,303,8150.664644979963,86
7.659872550857348,_all,1,303,8150.664644979963,87
7.625867588995718,_all,1,303,8150.664644979963,88
7.631088451000624,_all,1,303,8150.664644979963,89
7.54770430502071,_all,1,303,8150.664644979963,90
7.630090078790549,_all,1,303,8150.664644979963,91
7.592794939020867,_all,1,303,8150.664644979963,92
7.565917852892454,_all,1,303,8150.664644979963,93
7.654137362714384,_all,1,303,8150.664644979963,94
7.637564755730304,_all,1,303,8150.664644979963,95
7.510377998211706,_all,1,303,8150.664644979963,96
7.6621057125072385,_all,1,303,8150.664644979963,97
7.512966993701824,_all,1,303,8150.664644979963,98
7.6644097095275425,_all,1,303,8150.664644979963,99
7.614682281291291,_all,1,303,8150.664644979963,100
4.839701180287619,_all,2,301,3406.5510860140053,1
4.896614331499512,_all,2,301,3406.5510860140053,2
4.8677365675219795,_all,2,301,3406.5510860140053,3
4.753181025843188,_all,2,301,3406.5510860140053,4
4.873290994562717,_all,2,301,3406.5510860140053,5
4.866966583856136,_all,2,301,3406.5510860140053,6
5.016669127934185,_all,2,301,3406.5510860140053,7
4.962381536201481,_all,2,301,3406.5510860140053,8
4.836550856625464,_all,2,301,3406.5510860140053,9
4.946708911866511,_all,2,301,3406.5510860140053,10
4.905201699945428,_all,2,301,3406.5510860140053,11
4.874815889697171,_all,2,301,3406.5510860140053,12
4.94300228620911,_all,2,301,3406.5510860140053,13
4.896525707944092,_all,2,301,3406.5510860140053,14
4.9819820703374464,_all,2,301,3406.5510860140053,15
4.695729086816121,_all,2,301,3406.5510860140053,16
4.987692835033367,_all,2,301,3406.5510860140053,17
4.8976358444903525,_all,2,301,3406.5510860140053,18
4.83455942578537,_all,2,301,3406.5510860140053,19
4.754996770406748,_all,2,301,3406.5510860140053,20
4.765436416895225,_all,2,301,3406.5510860140053,21
4.7475711390878965,_all,2,301,3406.5510860140053,22
4.868970816792463,_all,2,301,3406.5510860140053,23
4.906273944872468,_all,2,301,3406.5510860140053,24
4.71931203590505,_all,2,301,3406.5510860140053,25
4.860736935120942,_all,2,301,3406.5510860140053,26
4.796113583202369,_all,2,301,3406.5510860140053,27
4.8925188480204325,_all,2,301,3406.5510860140053,28
4.907985258189879,_all,2,301,3406.5510860140053,29
4.830595420535235,_all,2,301,3406.5510860140053,30
4.829961827423505,_all,2,301,3406.5510860140053,31
4.8991412765758104,_all,2,301,3406.5510860140053,32
4.751137832754997,_all,2,301,3406.5510860140053,33
4.934491328950848,_all,2,301,3406.5510860140053,34
4.973980850358493,_all,2,301,3406.5510860140053,35
4.869907371330491,_all,2,301,3406.5510860140053,36
4.918800090203882,_all,2,301,3406.5510860140053,37
4.83875248373726,_all,2,301,3406.5510860140053,38
4.916048645906344,_all,2,301,3406.5510860140053,39
4.759057215180963,_all,2,301,3406.5510860140053,40
4.858721130396021,_all,2,301,3406.5510860140053,41
4.72867945939062,_all,2,301,3406.5510860140053,42
4.879778661138266,_all,2,301,3406.5510860140053,43
4.8119343763863025,_all,2,301,3406.5510860140053,44
4.8164069469772155,_all,2,301,3406.5510860140053,45
4.786394529144416,_all,2,301,3406.5510860140053,46
4.8994782210782,_all,2,301,3406.5510860140053,47
4.915999936117679,_all,2,301,3406.5510860140053,48
4.85949579855997,_all,2,301,3406.5510860140053,49
4.964019421194088,_all,2,301,3406.5510860140053,50
4.7448799184860855,_all,2,301,3406.5510860140053,51
4.7637145891134285,_all,2,301,3406.5510860140053,52
4.993856008709045,_all,2,301,3406.5510860140053,53
4.864111262834436,_all,2,301,3406.5510860140053,54
4.760246143659544,_all,2,301,3406.5510860140053,55
4.827190059668077,_all,2,301,3406.5510860140053,56
4.792926072414715,_all,2,301,3406.5510860140053,57
4.878780639106043,_all,2,301,3406.5510860140053,58
4.889792231028297,_all,2,301,3406.5510860140053,59
4.805922067521613,_all,2,301,3406.5510860140053,60
4.876157539598411,_all,2,301,3406.5510860140053,61
4.993588190310959,_all,2,301,3406.5510860140053,62
4.944332688442189,_all,2,301,3406.5510860140053,63
4.858528476123356,_all,2,301,3406.5510860140053,64
4.973204989011931,_all,2,301,3406.5510860140053,65
4.754339953631856,_all,2,301,3406.5510860140053,66
4.7101074566793875,_all,2,301,3406.5510860140053,67
4.842537037519816,_all,2,301,3406.5510860140053,68
4.884874023022461,_all,2,301,3406.5510860140053,69
4.97726642289083,_all,2,301,3406.5510860140053,70
4.8625842480397745,_all,2,301,3406.5510860140053,71
4.912562226611538,_all,2,301,3406.5510860140053,72
4.778521796150402,_all,2,301,3406.5510860140053,73
4.91315843563469,_all,2,301,3406.5510860140053,74
4.767439461552921,_all,2,301,3406.5510860140053,75
4.805122934435418,_all,2,301,3406.5510860140053,76
4.863959595601156,_all,2,301,3406.5510860140053,77
4.748120818052733,_all,2,301,3406.5510860140053,78
4.8512904762147215,_all,2,301,3406.5510860140053,79
4.875436944373058,_all,2,301,3406.5510860140053,80
5.041186970426594,_all,2,301,3406.5510860140053,81
4.867623104475582,_all,2,301,3406.5510860140053,82
4.867424311713891,_all,2,301,3406.5510860140053,83
4.880321253039842,_all,2,301,3406.5510860140053,84
4.844936908071458,_all,2,301,3406.5510860140053,85
4.890563893776911,_all,2,301,3406.5510860140053,86
4.969350301319212,_all,2,301,3406.5510860140053,87
4.840285446693522,_all,2,301,3406.5510860140053,88
4.881729056002257,_all,2,301,3406.5510860140053,89
5.00776053548927,_all,2,301,3406.5510860140053,90
